Date,Miles,Time,Seconds,Minutes,Min_per_mile
2014-12-01,0.0,,,,
2014-12-02,0.0,,,,
2014-12-03,0.0,,,,
2014-12-04,0.0,,,,
2014-12-05,0.0,,,,
2014-12-06,0.0,,,,
2014-12-07,0.0,,,,
2014-12-08,0.0,,,,
2014-12-09,2.93,0:25:00,1500.0,25.0,8.532423208191126
2014-12-10,0.0,,,,
2014-12-11,0.0,,,,
2014-12-12,1.37,0:09:15,555.0,9.25,6.751824817518248
2014-12-13,5.3,0:43:36,2616.0,43.6,8.226415094339623
2014-12-13,2.21,0:18:59,1139.0,18.983333333333334,8.58974358974359
2014-12-14,0.0,,,,
2014-12-15,6.5,0:58:43,3523.0,58.71666666666667,9.033333333333333
2014-12-16,0.0,,,,
2014-12-17,12.0,1:39:00,5940.0,99.0,8.25
2014-12-18,0.0,,,,
2014-12-19,3.1,0:26:15,1575.0,26.25,8.46774193548387
2014-12-20,14.8,2:15:00,8100.0,135.0,9.121621621621621
2014-12-21,0.0,,,,
2014-12-22,3.1,0:28:00,1680.0,28.0,9.032258064516128
2014-12-23,5.63,0:51:50,3110.0,51.833333333333336,9.206631142687982
2014-12-24,3.05,0:25:08,1508.0,25.133333333333333,8.240437158469947
2014-12-25,14.8,2:20:00,8400.0,140.0,9.45945945945946
2014-12-26,5.2,,,,
2014-12-27,0.0,,,,
2014-12-28,0.0,,,,
2014-12-29,0.0,,,,
2014-12-30,3.15,0:22:10,1330.0,22.166666666666668,7.037037037037037
2014-12-31,0.0,,,,
2015-01-01,26.2,4:20:43,15643.0,260.71666666666664,9.951017811704833
